,result,move,moveEnd,game,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
0,Black,0,112,30596,R,N,B,Q,K,B,N,R,P,P,P,P,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,p,p,p,p,p,p,p,p,r,n,b,q,k,b,n,r,0
1,Black,1,111,30596,R,N,B,Q,K,B,N,R,P,P,P,P,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,p,p,p,p,p,r,n,b,q,k,b,n,r,1
2,Black,2,110,30596,R,N,B,Q,K,B,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,P,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,p,p,p,p,p,r,n,b,q,k,b,n,r,0
3,Black,3,109,30596,R,N,B,Q,K,B,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,P,None,None,None,None,None,None,p,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,None,p,p,p,p,r,n,b,q,k,b,n,r,1
4,Black,4,108,30596,R,None,B,Q,K,B,N,R,P,P,P,N,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,P,None,None,None,None,None,None,p,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,None,p,p,p,p,r,n,b,q,k,b,n,r,0
5,Black,5,107,30596,R,None,B,Q,K,B,N,R,P,P,P,N,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,p,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,None,p,p,p,p,r,n,b,q,k,b,n,r,1
6,Black,6,106,30596,R,None,B,Q,K,B,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,N,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,None,p,p,p,p,r,n,b,q,k,b,n,r,0
7,Black,7,105,30596,R,None,B,Q,K,B,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,N,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,n,p,p,p,p,r,None,b,q,k,b,n,r,1
8,Black,8,104,30596,R,None,B,Q,K,None,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,B,P,N,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,n,p,p,p,p,r,None,b,q,k,b,n,r,0
9,Black,9,103,30596,R,None,B,Q,K,None,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,B,P,N,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,n,None,None,p,p,None,n,p,p,p,p,r,None,b,q,k,b,None,r,1
10,Black,10,102,30596,R,None,B,Q,K,None,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,B,P,None,None,None,None,None,None,None,None,None,None,N,None,None,None,p,None,None,n,None,None,p,p,None,n,p,p,p,p,r,None,b,q,k,b,None,r,0
11,Black,11,101,30596,R,None,B,Q,K,None,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,B,P,None,None,None,None,None,None,None,None,None,None,N,None,None,None,p,None,p,n,None,None,p,p,None,n,None,p,p,p,r,None,b,q,k,b,None,r,1
12,Black,12,100,30596,R,None,B,None,K,None,N,R,P,P,P,None,Q,P,P,P,None,None,None,None,None,None,None,None,None,None,B,P,None,None,None,None,None,None,None,None,None,None,N,None,None,None,p,None,p,n,None,None,p,p,None,n,None,p,p,p,r,None,b,q,k,b,None,r,0
13,Black,13,99,30596,R,None,B,None,K,None,N,R,P,P,P,None,Q,P,P,P,None,None,None,None,None,None,None,None,None,None,B,P,None,None,None,None,None,None,None,None,None,None,N,None,None,n,p,None,p,n,None,None,p,p,None,None,None,p,p,p,r,None,b,q,k,b,None,r,1
14,Black,14,98,30596,R,None,B,None,K,None,N,R,P,P,P,None,Q,P,P,P,None,None,None,B,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,N,None,None,n,p,None,p,n,None,None,p,p,None,None,None,p,p,p,r,None,b,q,k,b,None,r,0
15,Black,15,97,30596,R,None,B,None,K,None,N,R,P,P,P,None,Q,P,P,P,None,None,None,B,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,N,None,None,n,p,None,p,n,None,p,p,p,None,None,None,p,p,None,r,None,b,q,k,b,None,r,1
16,Black,16,96,30596,R,None,B,None,K,None,N,R,P,P,P,None,Q,P,P,P,None,None,None,B,None,N,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,None,None,n,p,None,p,n,None,p,p,p,None,None,None,p,p,None,r,None,b,q,k,b,None,r,0
17,Black,17,95,30596,R,None,B,None,K,None,N,R,P,P,P,None,Q,P,P,P,None,None,None,B,None,N,None,None,None,None,None,P,None,None,None,None,None,None,p,None,None,None,None,None,None,n,None,None,p,n,None,p,p,p,None,None,None,p,p,None,r,None,b,q,k,b,None,r,1
18,Black,18,94,30596,R,None,B,None,K,None,N,R,P,P,P,None,Q,P,P,P,None,None,None,B,None,N,None,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,n,None,None,p,n,None,p,p,p,None,None,None,p,p,None,r,None,b,q,k,b,None,r,0
19,Black,19,93,30596,R,None,B,None,K,None,N,R,P,P,P,None,Q,P,P,P,None,None,None,B,None,N,None,None,None,None,None,None,None,None,None,None,None,None,b,None,None,None,None,None,None,n,None,None,p,n,None,p,p,p,None,None,None,p,p,None,r,None,b,q,k,None,None,r,1
