,result,move,moveEnd,game,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
0,Draw,0,87,0,R,N,B,Q,K,B,N,R,P,P,P,P,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,p,p,p,p,p,p,p,p,r,n,b,q,k,b,n,r,0
1,Draw,1,86,0,R,N,B,Q,K,B,N,R,P,P,P,P,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,p,p,p,p,p,r,n,b,q,k,b,n,r,1
2,Draw,2,85,0,R,N,B,Q,K,B,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,P,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,p,p,p,p,p,r,n,b,q,k,b,n,r,0
3,Draw,3,84,0,R,N,B,Q,K,B,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,P,None,None,None,None,None,None,p,None,None,None,None,None,None,p,None,None,None,None,None,p,p,None,None,p,p,p,p,r,n,b,q,k,b,n,r,1
4,Draw,4,83,0,R,N,B,Q,K,B,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,p,P,None,None,None,None,None,p,None,None,None,None,None,p,p,None,None,p,p,p,p,r,n,b,q,k,b,n,r,0
5,Draw,5,82,0,R,N,B,Q,K,B,N,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,p,p,P,None,None,None,None,None,None,None,None,None,None,None,p,p,None,None,p,p,p,p,r,n,b,q,k,b,n,r,1
6,Draw,6,81,0,R,N,B,Q,K,B,None,R,P,P,P,None,N,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,p,p,P,None,None,None,None,None,None,None,None,None,None,None,p,p,None,None,p,p,p,p,r,n,b,q,k,b,n,r,0
7,Draw,7,80,0,R,N,B,Q,K,B,None,R,P,P,P,None,N,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,p,p,P,None,None,None,None,None,n,None,None,None,None,None,p,p,None,None,p,p,p,p,r,None,b,q,k,b,n,r,1
8,Draw,8,79,0,R,N,B,Q,K,B,None,R,P,P,None,None,N,P,P,P,None,None,P,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,p,p,P,None,None,None,None,None,n,None,None,None,None,None,p,p,None,None,p,p,p,p,r,None,b,q,k,b,n,r,0
9,Draw,9,78,0,R,N,B,Q,K,B,None,R,P,P,None,None,N,P,P,P,None,None,P,None,None,None,None,None,None,None,None,P,None,None,b,None,None,None,p,p,P,None,None,None,None,None,n,None,None,None,None,None,p,p,None,None,p,p,p,p,r,None,None,q,k,b,n,r,1
10,Draw,10,77,0,R,N,B,Q,K,B,None,R,P,P,None,None,N,P,P,None,None,None,P,None,None,None,None,P,None,None,None,P,None,None,b,None,None,None,p,p,P,None,None,None,None,None,n,None,None,None,None,None,p,p,None,None,p,p,p,p,r,None,None,q,k,b,n,r,0
11,Draw,11,76,0,R,N,B,Q,K,B,None,R,P,P,None,None,b,P,P,None,None,None,P,None,None,None,None,P,None,None,None,P,None,None,None,None,None,None,p,p,P,None,None,None,None,None,n,None,None,None,None,None,p,p,None,None,p,p,p,p,r,None,None,q,k,b,n,r,1
12,Draw,12,75,0,R,N,B,Q,K,None,None,R,P,P,None,None,B,P,P,None,None,None,P,None,None,None,None,P,None,None,None,P,None,None,None,None,None,None,p,p,P,None,None,None,None,None,n,None,None,None,None,None,p,p,None,None,p,p,p,p,r,None,None,q,k,b,n,r,0
13,Draw,13,74,0,R,N,B,Q,K,None,None,R,P,P,None,None,B,P,P,None,None,None,P,None,None,None,None,P,None,None,None,P,None,None,None,None,None,None,p,p,P,None,None,None,None,None,n,None,p,None,None,None,p,p,None,None,None,p,p,p,r,None,None,q,k,b,n,r,1
14,Draw,14,73,0,R,N,B,Q,None,R,K,None,P,P,None,None,B,P,P,None,None,None,P,None,None,None,None,P,None,None,None,P,None,None,None,None,None,None,p,p,P,None,None,None,None,None,n,None,p,None,None,None,p,p,None,None,None,p,p,p,r,None,None,q,k,b,n,r,0
15,Draw,15,72,0,R,N,B,Q,None,R,K,None,P,P,None,None,B,P,P,None,None,None,P,None,None,None,None,P,None,None,None,P,None,None,None,None,None,None,p,p,P,None,None,None,None,q,n,None,p,None,None,None,p,p,None,None,None,p,p,p,r,None,None,None,k,b,n,r,1
16,Draw,16,71,0,R,N,B,Q,None,R,K,None,P,P,None,None,B,P,P,None,None,None,P,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,P,p,P,None,None,None,None,q,n,None,p,None,None,None,p,p,None,None,None,p,p,p,r,None,None,None,k,b,n,r,0
17,Draw,17,70,0,R,N,B,Q,None,R,K,None,P,P,None,None,B,P,P,None,None,None,P,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,b,p,P,None,None,None,None,q,n,None,p,None,None,None,p,p,None,None,None,p,p,p,r,None,None,None,k,None,n,r,1
18,Draw,18,69,0,R,N,B,Q,None,R,K,None,P,None,None,None,B,P,P,None,None,None,P,None,None,None,None,P,None,P,None,None,None,None,None,None,None,None,b,p,P,None,None,None,None,q,n,None,p,None,None,None,p,p,None,None,None,p,p,p,r,None,None,None,k,None,n,r,0
19,Draw,19,68,0,R,N,B,Q,None,R,K,None,P,None,None,None,B,P,P,None,None,None,P,None,None,None,None,P,None,P,None,None,None,None,None,None,None,None,None,p,P,None,None,None,None,q,n,None,p,None,None,None,p,p,None,None,b,p,p,p,r,None,None,None,k,None,n,r,1
20,Draw,20,67,0,R,N,None,Q,None,R,K,None,P,None,None,None,B,P,P,None,None,None,P,None,B,None,None,P,None,P,None,None,None,None,None,None,None,None,None,p,P,None,None,None,None,q,n,None,p,None,None,None,p,p,None,None,b,p,p,p,r,None,None,None,k,None,n,r,0
21,Draw,21,66,0,R,N,None,Q,None,R,K,None,P,None,None,None,B,P,P,None,None,None,P,None,B,None,None,P,None,P,None,None,None,None,None,None,None,None,None,p,P,None,None,None,None,None,n,None,p,None,None,None,p,p,q,None,b,p,p,p,r,None,None,None,k,None,n,r,1
22,Draw,22,65,0,R,N,None,Q,None,R,K,None,P,None,None,None,B,None,P,None,None,None,P,None,B,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,P,None,None,None,None,None,n,None,p,None,None,None,p,p,q,None,b,p,p,p,r,None,None,None,k,None,n,r,0
23,Draw,23,64,0,R,N,None,Q,None,R,K,None,P,None,None,None,B,None,P,None,None,None,P,None,B,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,P,None,None,None,None,None,n,None,p,None,None,n,p,p,q,None,b,p,p,p,r,None,None,None,k,None,None,r,1
24,Draw,24,63,0,R,None,None,Q,None,R,K,None,P,None,None,None,B,None,P,None,N,None,P,None,B,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,P,None,None,None,None,None,n,None,p,None,None,n,p,p,q,None,b,p,p,p,r,None,None,None,k,None,None,r,0
25,Draw,25,62,0,R,None,None,Q,None,R,K,None,P,None,None,None,B,None,P,None,N,None,P,None,B,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,P,None,None,None,p,None,n,None,p,None,None,n,None,p,q,None,b,p,p,p,r,None,None,None,k,None,None,r,1
26,Draw,26,61,0,R,None,None,Q,None,R,K,None,P,None,None,None,None,None,P,None,N,None,P,B,B,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,P,None,None,None,p,None,n,None,p,None,None,n,None,p,q,None,b,p,p,p,r,None,None,None,k,None,None,r,0
27,Draw,27,60,0,R,None,None,Q,None,R,K,None,P,None,None,None,None,None,P,None,N,None,P,B,B,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,P,None,None,None,p,None,n,None,p,None,None,n,None,p,q,None,b,p,p,p,r,None,None,None,None,r,k,None,1
28,Draw,28,59,0,R,None,None,Q,None,R,K,None,P,None,N,None,None,None,P,None,None,None,P,B,B,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,P,None,None,None,p,None,n,None,p,None,None,n,None,p,q,None,b,p,p,p,r,None,None,None,None,r,k,None,0
29,Draw,29,58,0,R,None,None,Q,None,R,K,None,P,None,N,None,None,None,P,None,None,None,P,B,B,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,P,None,None,None,p,None,n,None,p,p,None,n,None,p,q,None,b,None,p,p,r,None,None,None,None,r,k,None,1
30,Draw,30,57,0,R,None,None,Q,None,R,K,None,P,None,None,None,None,None,P,None,None,None,P,B,B,None,None,P,None,P,None,N,None,P,None,None,None,None,None,p,P,None,None,None,p,None,n,None,p,p,None,n,None,p,q,None,b,None,p,p,r,None,None,None,None,r,k,None,0
31,Draw,31,56,0,R,None,None,Q,None,R,K,None,P,None,None,None,None,None,P,None,None,None,P,B,B,None,None,P,None,P,None,n,None,P,None,None,None,None,None,p,P,None,None,None,p,None,None,None,p,p,None,n,None,p,q,None,b,None,p,p,r,None,None,None,None,r,k,None,1
32,Draw,32,55,0,R,None,None,Q,None,R,K,None,P,None,None,None,None,None,P,None,None,None,P,B,None,None,None,P,None,P,None,B,None,P,None,None,None,None,None,p,P,None,None,None,p,None,None,None,p,p,None,n,None,p,q,None,b,None,p,p,r,None,None,None,None,r,k,None,0
33,Draw,33,54,0,R,None,None,Q,None,R,K,None,P,None,None,None,None,None,P,None,None,None,P,B,None,None,None,P,None,P,None,B,None,P,None,None,None,None,None,p,p,None,None,None,p,None,None,None,p,None,None,n,None,p,q,None,b,None,p,p,r,None,None,None,None,r,k,None,1
34,Draw,34,53,0,R,None,None,Q,None,R,K,None,P,None,None,None,None,None,P,None,None,None,P,B,None,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,B,None,None,None,p,None,None,None,p,None,None,n,None,p,q,None,b,None,p,p,r,None,None,None,None,r,k,None,0
35,Draw,35,52,0,R,None,None,Q,None,R,K,None,P,None,None,None,None,None,P,None,None,None,P,B,None,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,B,None,None,None,p,None,None,b,p,None,None,n,None,p,q,None,None,None,p,p,r,None,None,None,None,r,k,None,1
36,Draw,36,51,0,R,None,None,Q,None,R,K,None,P,None,None,None,None,None,P,None,None,None,P,B,None,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,None,None,None,None,p,None,None,B,p,None,None,n,None,p,q,None,None,None,p,p,r,None,None,None,None,r,k,None,0
37,Draw,37,50,0,R,None,None,Q,None,R,K,None,P,None,None,None,None,None,P,None,None,None,P,B,None,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,None,None,None,None,p,None,None,q,p,None,None,n,None,p,None,None,None,None,p,p,r,None,None,None,None,r,k,None,1
38,Draw,38,49,0,R,None,None,None,None,R,K,None,P,None,None,Q,None,None,P,None,None,None,P,B,None,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,None,None,None,None,p,None,None,q,p,None,None,n,None,p,None,None,None,None,p,p,r,None,None,None,None,r,k,None,0
39,Draw,39,48,0,R,None,None,None,None,R,K,None,P,None,None,Q,None,None,P,None,None,None,P,B,None,None,None,P,None,P,None,None,None,P,None,None,None,None,None,p,None,n,None,None,p,None,None,q,p,None,None,None,None,p,None,None,None,None,p,p,r,None,None,None,None,r,k,None,1
