,result,move,moveEnd,game,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
0,Black,0,112,27167,R,N,B,Q,K,B,N,R,P,P,P,P,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,p,p,p,p,p,p,p,p,r,n,b,q,k,b,n,r,0
1,Black,1,111,27167,R,N,B,Q,K,B,N,R,P,P,P,P,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,p,None,None,None,None,None,None,None,None,None,None,None,None,None,p,p,None,p,p,p,p,p,r,n,b,q,k,b,n,r,1
2,Black,2,110,27167,R,N,B,Q,K,B,None,R,P,P,P,P,None,P,P,P,None,None,None,None,None,N,None,None,None,None,None,None,P,None,None,None,None,None,p,None,None,None,None,None,None,None,None,None,None,None,None,None,p,p,None,p,p,p,p,p,r,n,b,q,k,b,n,r,0
3,Black,3,109,27167,R,N,B,Q,K,B,None,R,P,P,P,P,None,P,P,P,None,None,None,None,None,N,None,None,None,None,None,None,P,None,None,None,None,None,p,None,None,None,None,None,None,None,None,None,p,None,None,None,p,p,None,p,None,p,p,p,r,n,b,q,k,b,n,r,1
4,Black,4,108,27167,R,N,B,Q,K,B,None,R,P,P,P,None,None,P,P,P,None,None,None,None,None,N,None,None,None,None,None,P,P,None,None,None,None,None,p,None,None,None,None,None,None,None,None,None,p,None,None,None,p,p,None,p,None,p,p,p,r,n,b,q,k,b,n,r,0
5,Black,5,107,27167,R,N,B,Q,K,B,None,R,P,P,P,None,None,P,P,P,None,None,None,None,None,N,None,None,None,None,None,p,P,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,p,p,None,p,None,p,p,p,r,n,b,q,k,b,n,r,1
6,Black,6,106,27167,R,N,B,Q,K,B,None,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,N,P,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,p,p,None,p,None,p,p,p,r,n,b,q,k,b,n,r,0
7,Black,7,105,27167,R,N,B,Q,K,B,None,R,P,P,P,None,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,N,P,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,p,None,None,None,None,p,None,p,None,p,p,p,r,n,b,q,k,b,n,r,1
8,Black,8,104,27167,R,N,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,None,B,None,None,None,None,None,None,None,N,P,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,p,None,None,None,None,p,None,p,None,p,p,p,r,n,b,q,k,b,n,r,0
9,Black,9,103,27167,R,N,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,None,B,None,None,None,None,None,None,None,N,P,None,None,None,None,None,None,None,None,None,None,None,p,None,n,None,p,None,None,None,None,p,None,p,None,p,p,p,r,None,b,q,k,b,n,r,1
10,Black,10,102,27167,R,N,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,None,B,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,p,None,N,None,p,None,None,None,None,p,None,p,None,p,p,p,r,None,b,q,k,b,n,r,0
11,Black,11,101,27167,R,N,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,None,B,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,p,None,p,None,p,None,None,None,None,None,None,p,None,p,p,p,r,None,b,q,k,b,n,r,1
12,Black,12,100,27167,R,N,B,Q,None,R,K,None,P,P,P,None,None,P,P,P,None,None,None,B,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,p,None,p,None,p,None,None,None,None,None,None,p,None,p,p,p,r,None,b,q,k,b,n,r,0
13,Black,13,99,27167,R,N,B,Q,None,R,K,None,P,P,P,None,None,P,P,P,None,None,None,B,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,p,None,None,None,None,p,None,p,None,p,None,None,None,None,None,None,None,None,p,p,p,r,None,b,q,k,b,n,r,1
